player,season,age,team,position,games_played,games_started,minutes_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,points_per_game,per,usage_pct,true_shooting_pct,win_shares,Box_PlusMinus,value_over_replacement,delta_points_per_game,delta_rebounds_per_game,delta_assists_per_game,delta_per,delta_usage_pct,delta_true_shooting_pct,delta_Box_PlusMinus,delta_win_shares,delta_value_over_replacement,z_delta_points_per_game,z_delta_per,z_delta_usage_pct,z_delta_true_shooting_pct,z_delta_win_shares,breakout_score,breakout
A.J. Lawson,2024-25,24.0,TOR,SG,26.0,2.0,18.7,3.3,1.2,0.5,0.2,9.1,12.7,20.0,0.542,0.8,-2.5,-0.1,,,,,,,,,,,,,,,,0
AJ Griffin,2022-23,19.0,ATL,SF,72.0,12.0,19.5,2.1,1.0,0.6,0.2,8.9,12.6,17.9,0.577,2.2,-0.8,0.4,,,,,,,,,,,,,,,,0
AJ Johnson,2024-25,20.0,2TM,SG,29.0,11.0,22.0,2.0,2.6,0.4,0.1,7.6,7.1,17.4,0.48,-0.4,-8.1,-1.0,,,,,,,,,,,,,,,,0
Aaron Holiday,2020-21,24.0,IND,PG,66.0,8.0,17.8,1.3,1.9,0.7,0.2,7.2,9.2,19.5,0.503,0.2,-4.2,-0.7,,,,,,,,,,,,,,,,0
Aaron Nesmith,2020-21,21.0,BOS,SF,46.0,1.0,14.5,2.8,0.5,0.3,0.2,4.7,9.4,13.7,0.573,1.1,-3.2,-0.2,,,,,,,,,,,,,,,,0
Aaron Nesmith,2022-23,23.0,IND,SF,73.0,60.0,24.9,3.8,1.3,0.8,0.5,10.1,10.5,16.8,0.566,2.0,-3.0,-0.4,5.3999999999999995,1.0,0.8,1.0999999999999996,3.1000000000000014,-0.007000000000000006,0.20000000000000018,0.8999999999999999,-0.2,1.4450596594500569,0.22119547436307185,0.9346627596190538,-0.2950777253009267,0.22516511788309085,0.51,0
Aaron Nesmith,2023-24,24.0,IND,SF,72.0,47.0,27.7,3.8,1.5,0.9,0.7,12.2,12.8,16.0,0.631,4.1,-0.5,0.8,2.0999999999999996,0.0,0.19999999999999996,2.3000000000000007,-0.8000000000000007,0.06500000000000006,2.5,2.0999999999999996,1.2000000000000002,0.40150855064334634,0.7352235937636203,-0.4452711240058561,1.3769347539489665,0.8676711635634453,0.59,1
Aaron Wiggins,2021-22,23.0,OKC,SG,50.0,35.0,24.2,3.6,1.4,0.6,0.2,8.3,10.3,15.3,0.556,1.2,-4.3,-0.7,,,,,,,,,,,,,,,,0
Aaron Wiggins,2022-23,24.0,OKC,SG,70.0,14.0,18.5,3.0,1.1,0.6,0.2,6.8,12.2,14.5,0.607,2.6,-2.1,0.0,-1.5000000000000009,-0.6000000000000001,-0.2999999999999998,1.8999999999999986,-0.8000000000000007,0.050999999999999934,2.1999999999999997,1.4000000000000001,0.7,-0.7369108407821562,0.5638808872967701,-0.4452711240058561,1.0518212163170402,0.49287597024990537,0.19,0
Adem Bona,2024-25,21.0,PHI,C,58.0,11.0,15.6,4.2,0.5,0.4,1.2,5.8,16.5,14.3,0.714,2.3,-2.7,-0.2,,,,,,,,,,,,,,,,0
Admiral Schofield,2021-22,24.0,ORL,SF,38.0,1.0,12.3,2.3,0.7,0.1,0.1,3.8,7.5,14.5,0.538,0.3,-5.4,-0.4,,,,,,,,,,,,,,,,0
Ajay Mitchell,2024-25,22.0,OKC,SG,36.0,1.0,16.6,1.9,1.8,0.7,0.1,6.5,12.0,16.2,0.587,1.5,-1.6,0.1,,,,,,,,,,,,,,,,0
Aleksej Pokusevski,2020-21,19.0,OKC,PF,45.0,28.0,24.2,4.7,2.2,0.4,0.9,8.2,6.1,20.5,0.43,-1.9,-6.1,-1.1,,,,,,,,,,,,,,,,0
Aleksej Pokusevski,2021-22,20.0,OKC,PF,61.0,12.0,20.2,5.2,2.1,0.6,0.6,7.6,12.0,20.0,0.485,0.4,-2.6,-0.2,-0.5999999999999996,0.5,-0.10000000000000009,5.9,-0.5,0.05499999999999999,3.4999999999999996,2.3,0.9000000000000001,-0.45230599292578016,2.2773079519652644,-0.3391223637270167,1.144710798497591,0.9747555045101712,0.72,1
Aleksej Pokusevski,2022-23,21.0,OKC,PF,34.0,25.0,20.6,4.7,1.9,0.6,1.3,8.1,13.4,18.3,0.522,1.0,0.0,0.3,0.5,-0.5,-0.20000000000000018,1.4000000000000004,-1.6999999999999993,0.03700000000000003,2.6,0.6,0.5,-0.10445562332354344,0.3497025042132092,-0.7637174048423732,0.7267076786851191,0.06453860646300222,0.05,0
Aleksej Pokusevski,2023-24,22.0,2TM,PF,28.0,0.0,14.5,3.2,1.3,0.5,0.5,5.2,12.7,17.2,0.525,0.4,-1.9,0.0,-2.8999999999999995,-1.5,-0.5999999999999999,-0.7000000000000011,-1.1000000000000014,0.0030000000000000027,-1.9,-0.6,-0.3,-1.1796294930031843,-0.5498467047377505,-0.5514198842846956,-0.06285376984955267,-0.5779674392173525,-0.58,0
Alex Sarr,2024-25,19.0,WAS,C,67.0,67.0,27.1,6.5,2.4,0.7,1.5,13.0,12.9,23.5,0.482,-0.3,-3.3,-0.6,,,,,,,,,,,,,,,,0
Alperen Sengun,2021-22,19.0,HOU,C,72.0,13.0,20.7,5.5,2.6,0.8,0.9,9.6,16.0,22.0,0.552,2.1,-1.0,0.4,,,,,,,,,,,,,,,,0
Alperen Sengun,2022-23,20.0,HOU,C,75.0,72.0,28.9,9.0,3.9,0.9,0.9,14.8,19.7,21.4,0.599,5.2,1.4,1.9,5.200000000000001,3.5,1.2999999999999998,3.6999999999999993,-0.6000000000000014,0.04699999999999993,2.4,3.1,1.5,1.3818141377041961,1.3349230663975924,-0.3745052838199636,0.9589316341364905,1.4030928682970745,0.94,1
Alperen Sengun,2023-24,21.0,HOU,C,63.0,63.0,32.5,9.3,5.0,1.2,0.7,21.1,22.0,27.0,0.585,6.9,4.9,3.5,6.300000000000001,0.3000000000000007,1.1,2.3000000000000007,5.600000000000001,-0.014000000000000012,3.5000000000000004,1.7000000000000002,1.6,1.7296645073064327,0.7352235937636203,1.8192357619427135,-0.45763449411688856,0.6535024816699941,0.9,1
Alperen Sengun,2024-25,22.0,HOU,C,76.0,76.0,31.5,10.3,4.9,1.1,0.8,19.1,21.4,26.2,0.545,8.3,4.4,3.9,-2.0,1.0,-0.09999999999999964,-0.6000000000000014,-0.8000000000000007,-0.039999999999999925,-0.5,1.4000000000000004,0.3999999999999999,-0.8950246451468089,-0.5070110281210384,-0.4452711240058561,-1.0614167782904587,0.49287597024990554,-0.48,0
Amen Thompson,2023-24,21.0,HOU,SF,62.0,23.0,22.4,6.6,2.6,1.3,0.6,9.5,18.2,18.5,0.576,4.3,1.8,1.3,,,,,,,,,,,,,,,,0
Amen Thompson,2024-25,22.0,HOU,SF,69.0,42.0,32.2,8.2,3.8,1.4,1.3,14.1,18.7,17.5,0.602,8.0,4.1,3.4,4.6,1.5999999999999996,1.1999999999999997,0.5,-1.0,0.026000000000000023,2.3,3.7,2.0999999999999996,1.1920775724666117,-0.03581858533720201,-0.5160369641917486,0.4712613276886077,1.7243458911372518,0.57,0
Amir Coffey,2021-22,24.0,LAC,SG,69.0,30.0,22.7,2.9,1.8,0.6,0.2,9.0,13.0,15.8,0.598,3.8,-0.3,0.7,,,,,,,,,,,,,,,,0
Andre Jackson Jr.,2024-25,23.0,MIL,SG,67.0,43.0,14.6,2.7,1.2,0.5,0.2,3.4,8.6,11.9,0.554,1.2,-3.4,-0.3,,,,,,,,,,,,,,,,0
Andrew Nembhard,2022-23,23.0,IND,SG,75.0,63.0,27.6,2.7,4.5,0.9,0.2,9.5,10.0,16.1,0.528,1.2,-3.2,-0.6,,,,,,,,,,,,,,,,0
