feature,coefficient
delta_rebounds_per_game,0.34178315311263957
assists_per_game,0.22179282621099253
value_over_replacement,0.1816567782763802
minutes_per_game,0.14244436938050428
delta_usage_pct,0.13350313958661209
delta_per,0.11829493663242056
Box_PlusMinus,0.0734963963209887
per,0.05975384190961552
true_shooting_pct,0.022414160493329473
games_played,0.010981396512215302
delta_true_shooting_pct,-0.00021188483420575994
usage_pct,-0.0049131233615027385
delta_assists_per_game,-0.028911136819937913
rebounds_per_game,-0.05021973680705072
delta_value_over_replacement,-0.07721785277857879
age,-0.08871513411602357
delta_points_per_game,-0.09786739458451747
delta_Box_PlusMinus,-0.09788789188717449
points_per_game,-0.21152008892218235
delta_win_shares,-0.23200532201948698
win_shares,-0.3509416170926151
